wavelength	spectral_rad
380.0	6.357E-07
384.0	7.139E-07
388.0	7.394E-07
392.0	8.621E-07
396.0	9.505E-07
400.0	1.049E-06
404.0	1.152E-06
408.0	1.243E-06
412.0	1.312E-06
416.0	1.438E-06
420.0	1.540E-06
424.0	1.652E-06
428.0	1.766E-06
432.0	1.876E-06
436.0	2.011E-06
440.0	2.109E-06
444.0	2.272E-06
448.0	2.420E-06
452.0	2.576E-06
456.0	2.733E-06
460.0	2.886E-06
464.0	3.051E-06
468.0	3.190E-06
472.0	3.362E-06
476.0	3.535E-06
480.0	3.702E-06
484.0	3.896E-06
488.0	4.059E-06
492.0	4.251E-06
496.0	4.451E-06
500.0	4.635E-06
504.0	4.825E-06
508.0	5.020E-06
512.0	5.234E-06
516.0	5.427E-06
520.0	5.619E-06
524.0	5.831E-06
528.0	6.067E-06
532.0	6.280E-06
536.0	6.472E-06
540.0	6.686E-06
544.0	6.906E-06
548.0	7.124E-06
552.0	7.352E-06
556.0	7.582E-06
560.0	7.826E-06
564.0	8.029E-06
568.0	8.291E-06
572.0	8.528E-06
576.0	8.763E-06
580.0	8.988E-06
584.0	9.229E-06
588.0	9.469E-06
592.0	9.726E-06
596.0	9.945E-06
600.0	1.018E-05
604.0	1.040E-05
608.0	1.065E-05
612.0	1.085E-05
616.0	1.104E-05
620.0	1.130E-05
624.0	1.153E-05
628.0	1.174E-05
632.0	1.199E-05
636.0	1.218E-05
640.0	1.238E-05
644.0	1.263E-05
648.0	1.287E-05
652.0	1.307E-05
656.0	1.326E-05
660.0	1.353E-05
664.0	1.381E-05
668.0	1.412E-05
672.0	1.431E-05
676.0	1.457E-05
680.0	1.475E-05
684.0	1.502E-05
688.0	1.528E-05
692.0	1.546E-05
696.0	1.572E-05
700.0	1.596E-05
704.0	1.619E-05
708.0	1.635E-05
712.0	1.660E-05
716.0	1.681E-05
720.0	1.700E-05
724.0	1.719E-05
728.0	1.744E-05
732.0	1.765E-05
736.0	1.786E-05
740.0	1.807E-05
744.0	1.826E-05
748.0	1.853E-05
752.0	1.869E-05
756.0	1.893E-05
760.0	1.912E-05
764.0	1.933E-05
768.0	1.956E-05
772.0	1.971E-05
776.0	1.999E-05
780.0	2.015E-05
784.0	2.033E-05
788.0	2.049E-05
792.0	2.070E-05
796.0	2.083E-05
800.0	2.102E-05
804.0	2.119E-05
808.0	2.138E-05
812.0	2.158E-05
816.0	2.177E-05
820.0	2.190E-05
824.0	2.211E-05
828.0	2.226E-05
832.0	2.239E-05
836.0	2.263E-05
840.0	2.284E-05
844.0	2.301E-05
848.0	2.313E-05
852.0	2.316E-05
856.0	2.339E-05
860.0	2.355E-05
864.0	2.376E-05
868.0	2.390E-05
872.0	2.412E-05
876.0	2.422E-05
880.0	2.445E-05
884.0	2.459E-05
888.0	2.490E-05
892.0	2.507E-05
896.0	2.518E-05
900.0	2.540E-05
904.0	2.544E-05
908.0	2.565E-05
912.0	2.582E-05
916.0	2.585E-05
920.0	2.637E-05
924.0	2.634E-05
928.0	2.653E-05
932.0	2.669E-05
936.0	2.682E-05
940.0	2.697E-05
944.0	2.722E-05
948.0	2.725E-05
952.0	2.742E-05
956.0	2.757E-05
960.0	2.744E-05
964.0	2.760E-05
968.0	2.805E-05
972.0	2.796E-05
976.0	2.764E-05
980.0	2.758E-05
984.0	2.816E-05
988.0	2.799E-05
992.0	2.800E-05
996.0	2.813E-05
1000.0	2.819E-05
1004.0	2.783E-05
1008.0	2.831E-05
1012.0	2.807E-05
1016.0	2.811E-05
1020.0	2.825E-05
1024.0	2.794E-05
1028.0	2.858E-05
1032.0	2.851E-05
1036.0	2.869E-05
1040.0	2.788E-05
1044.0	2.757E-05
1048.0	2.742E-05
1052.0	2.642E-05
1056.0	2.650E-05
1060.0	2.511E-05
1064.0	2.772E-05
1068.0	2.693E-05
